video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=k6Ih35XaJ7Y&pp=ygULcmFjZVNlYXR0bGU%3D,/@NatGeo,National Geographic,Seattle Street Racing | National Geographic,210K,11 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-02-03 22:23:24.544554
/watch?v=zwOImSrzmCg&pp=ygULcmFjZVNlYXR0bGU%3D,/@Partymanners2,Horse Racing,Seattle Slew - Full Documentary,1.6M,10 years,"Seattle Slew (February 15, 1974 -- May 7, 2002) was an American Thoroughbred race horse who won the Triple Crown in ...",2024-02-03 22:23:24.547752
/watch?v=zd73x5wNyuA&pp=ygULcmFjZVNlYXR0bGU%3D,/@NBCSports,NBC Sports,Seattle Seahawks wide receiver DK Metcalf competes in 100m race at USATF Golden Games | NBC Sports,9.4M,2 years,Seattle Seahawks wide receiver DK Metcalf finishes last in a nine-man field in the 100m at the USATF Golden Games but clocks ...,2024-02-03 22:23:24.550580
/watch?v=IV9a_BlMKkw&pp=ygULcmFjZVNlYXR0bGU%3D,/@raisingrookies,Raising Rookies,Spartan Kids Race - Seattle 2022 - All Distances,953,11 months,A quick video of our muddy experience at the Seattle Spartan Kids Race! We had kids in every race distance - the 2 Mile ...,2024-02-03 22:23:24.553529
/watch?v=woCdvwtCweI&pp=ygULcmFjZVNlYXR0bGU%3D,/@SpartanRaceTube,Spartan,| Spartan Race LIVE 2018 - Seattle,77K,Streamed 5 years,2nd Race of the 2018 US National Championship Series Spartan Up! Sign up now: http://spartan.com AROO!!! Follow us: ...,2024-02-03 22:23:24.557066
/watch?v=xDWwhvVi29Y&pp=ygULcmFjZVNlYXR0bGU%3D,/@secretariat224,Vintage North American Horse Racing,Seattle Slew - The 1977 Belmont Stakes,240K,17 years,"Improved footage and different camera angles of The Slew's classic Belmont win. Great footage, especially on the backstretch, ...",2024-02-03 22:23:24.559367
/watch?v=EKyRwUPDsyc&pp=ygULcmFjZVNlYXR0bGU%3D,/@VISITSEATTLEtv,VISITSEATTLE.tv,Visit Seattle | The Emerald Race | Episode 1,244K,6 years,"In the Emerald Race series premiere, watch as three former reality star teams touch down in Seattle ready to dive head first into a ...",2024-02-03 22:23:24.561885
/watch?v=p8JiT0qLSkc&pp=ygULcmFjZVNlYXR0bGU%3D,/@KING5Seattle,KING 5 Seattle,"5 people shot at Kent street race at problem intersection, police say",25K,8 months,"Five people were shot at a street race in Kent early Sunday morning, according to the Renton Police Department who also ...",2024-02-03 22:23:24.564268
/watch?v=EGy7sjH0emw&pp=ygULcmFjZVNlYXR0bGU%3D,/@ebaukoadventure1144,Ebauko Adventure,Spartan Race Seattle-Super 2022,1.2K,1 year,Spartan Race Seattle 2022. Wish we had capture videos doing some of the major obstacles. The wife was tired and forgot to turn ...,2024-02-03 22:23:24.566846
/watch?v=hjqEJBPGhh4&pp=ygULcmFjZVNlYXR0bGU%3D,/@MotorsportsonNBC,Motorsports on NBC,2023 Supercross Round 11 in Seattle | EXTENDED HIGHLIGHTS | 3/25/23 | Motorsports on NBC,217K,10 months,"NBC Sports – the home of motorsports – features unparalleled motorsports programming, fueled by the network's media rights ...",2024-02-03 22:23:24.570447
/watch?v=PAGl5htWeMU&pp=ygULcmFjZVNlYXR0bGU%3D,/@KING5Seattle,KING 5 Seattle,Street racing proposal approved by Seattle City Council,2.5K,6 months,"Ten Seattle streets will now be designated as restricted racing zones, allowing automated speed cameras to be installed.",2024-02-03 22:23:24.572973
/watch?v=QJZdau40QPw&pp=ygULcmFjZVNlYXR0bGU%3D,/@H1Unlimited,H1 Unlimited,Best of the 2010's - 2015 Seattle Final Heat,60K,4 years,Jimmy Shane and J. Michael Kelly duel in one of the best Seattle Finals in history.,2024-02-03 22:23:24.575380
/watch?v=LzTs_QBxHmA&pp=ygULcmFjZVNlYXR0bGU%3D,/@H1Unlimited,H1 Unlimited,"1985 APBA Gold Cup | Seattle, WA",17K,3 years,"Full race broadcast of the 1985 Budweiser APBA Gold Cup in Seattle, WA. ---------- Log on to http://www.h1unlimited.com/ for the ...",2024-02-03 22:23:24.577686
/watch?v=KaLF1e5wmA0&pp=ygULcmFjZVNlYXR0bGU%3D,/@SpartanRaceTube,Spartan,2019 US National Series Seattle Super | Spartan Race,119K,4 years,"The Spartan Race is heading to Seattle for the Seattle Super, another qualifying race on the #RoadtoTahoe for the Spartan Race ...",2024-02-03 22:23:24.581380
